Application / Award Number,Grantee Access Enabled?,Primary Institution,City,State,Title,Division/Office,Program,Deadline,Council Number Date,Status,Awarded,Award FY,Latitude,Longitude
1793859-44-88,FALSE,Hampton University,Hampton,VA,To support the conservation treatment of selected drawings by American Indian artists at the Hampton University Museum and Archives,Museums,Other,,095 February 1988 NCA,Closed Out,"$12,400.00 ",1988,37.0228392,-76.3343603
1793324-44-88,FALSE,Hampton University,Hampton,VA,To support the preparation of catalogues of two narrative painting series by Jacob Lawrence which are in the collection of Hampton University,Museums,Other,,094 November 1987 NCA,Closed Out,"$12,900.00 ",1988,37.0228392,-76.3343603
1791376-52-87,FALSE,Hampton University,Hampton,VA,To support writers' fees and related costs for a writers-in-residence series,Literary Arts,Other,,092 May 1987 NCA,Closed Out,"$6,600.00 ",1987,37.0228392,-76.3343603
1791847-44-87,FALSE,Hampton University,Hampton,VA,To support the University's MA Program in Museum Studies which includes semester-long internships in museums.,Museums,Other,,092 May 1987 NCA,Closed Out,"$13,056.00 ",1987,37.0228392,-76.3343603
1795561-44-86,FALSE,Hampton University,Hampton,VA,To support the university's graduate program in museum studies which includes semester-long internships in museums,Museums,Other,,089 August 1986 NCA,Closed Out,"$20,000.00 ",1986,37.0228392,-76.3343603
1798758-44-85,FALSE,Hampton University,Hampton,VA,,Museums,Other,,084 May 1985 NCA,Closed Out,"$20,000.00 ",1985,37.0228392,-76.3343603
1802288-52-84,FALSE,Hampton University,Hampton,VA,,Literary Arts,Other,,080 May 1984 NCA,Closed Out,"$8,520.00 ",1984,37.0228392,-76.3343603
1802396-44-84,FALSE,Hampton University,Hampton,VA,,Museums,Other,,080 May 1984 NCA,Closed Out,"$25,000.00 ",1984,37.0228392,-76.3343603
1901233-66,TRUE,Norfolk State University,Norfolk,VA,"Purpose: To support personnel, facilities, and marketing
expenses in response to and recovery from the COVID-19 pandemic.",American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Offered,$0.00 ,,36.8480161,-76.262085
1816448-59-14,FALSE,Virginia State University,Petersburg,VA,To support the Virginia State University Lyceum Series.,Arts Engagement in American Communities,Challenge America: Arts Engagement in American Communities,9/30/14,182 June 2014 NCA,Closed Out,"$8,785.00 ",2014,37.2384613,-77.4198721
1662831-41,FALSE,Virginia State University,Petersburg,VA,Virginia State University?s Multicultural Art Camp,Visual Arts,Access to Artistic Excellence,8/13/07,163 March 2008 NCA,Withdrawn by Applicant,$0.00 ,,37.2384613,-77.4198721
1900027-66,FALSE,Virginia Union University,Richmond,VA,,American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Rejected,$0.00 ,,37.5625916,-77.4514696
1895231-34,FALSE,University of the Virgin Islands,Charlotte Amalie,VI,"To support, Echoes from the Conch Shell, a Virtual Reality (VR) and Augmented Reality (AR) community media project exploring stories of place, identity and belonging in the U.S. Virgin Islands.",Media Arts,Grants for Arts Projects,7/8/21,206 March 2022 NCA,Pending,$0.00 ,,18.34342,-64.97282
1902431-66,TRUE,University of the Virgin Islands,Charlotte Amalie,VI,"Purpose: To support personnel, safety supplies, and marketing expenses in response to and recovery from the COVID-19 pandemic.",American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Offered,$0.00 ,,18.34342,-64.97282
1679720-32,FALSE,University of the Virgin Islands,Charlotte Amalie,VI,,Theater,Other,,136 March 1999 NCA,Rejected,$0.00 ,,18.34342,-64.97282
1761740-31-98,FALSE,University of the Virgin Islands,Charlotte Amalie,VI,"To support Pianos Under the Palms, a summit of internationally renowned Caribbean pianists, recognized for their contributions as composers and performers, presented at the Reichhold Center for the Arts on the campus of the University of the Virgin Islands.",Music,Creativity / Presentation,,133 February 1998 NCA,Closed Out,"$10,000.00 ",1998,18.34342,-64.97282
1682344-54,FALSE,University of the Virgin Islands,Charlotte Amalie,VI,"To support a comprehensive planning process including review of the Reichhold Center's mijssion statement, its alliance with the University and community, and internal operations.",Presenting & Multidisciplinary Works,Other,,130 March 1997 NCA,Rejected,$0.00 ,,18.34342,-64.97282
1684522-53,FALSE,University of the Virgin Islands,Charlotte Amalie,VI,,Expansion Arts,Other,,127 February 1996 NCA,Rejected,$0.00 ,,18.34342,-64.97282
1697857-54,FALSE,University of the Virgin Islands,Charlotte Amalie,VI,,Presenting & Multidisciplinary Works,Other,,109 August 1991 NCA,Rejected,$0.00 ,,18.34342,-64.97282
1704546-54,FALSE,University of the Virgin Islands,Charlotte Amalie,VI,,Presenting & Multidisciplinary Works,Other,,102 November 1989 NCA,Rejected,$0.00 ,,18.34342,-64.97282
1836047,FALSE,Bluefield State College,Bluefield,WV,The Underground Railroad - The Appalachian Trail: A Confluence of Song,,Challenge America,4/16/15,187 March 2016 NCA,Incomplete,$0.00 ,,37.2672311,-81.2374456
1835847-54,FALSE,"West Virginia State College Foundation, Inc.",Institute,WV,A New Composition by composer Andy Akiho for a Pre pared Music Field.,Presenting & Multidisciplinary Works,Art Works,2/19/15,186 October 2015 NCA,Rejected,$0.00 ,,38.3789586,-81.7665882
1667114-55,FALSE,"West Virginia State College Foundation, Inc.",Institute,WV,,Folk & Traditional Arts,Access to Artistic Excellence,,153 October 2004 NCA,Rejected,$0.00 ,,38.3789586,-81.7665882
1673260-70,FALSE,"West Virginia State College Foundation, Inc.",Institute,WV,,Multidisciplinary*,Access,,148 April 2003 NCA,Rejected,$0.00 ,,38.3789586,-81.7665882
1675483-55,FALSE,"West Virginia State College Foundation, Inc.",Institute,WV,,Folk & Traditional Arts,Heritage / Preservation,,145 March 2002 NCA,Rejected,$0.00 ,,38.3789586,-81.7665882
1757582-55-01,FALSE,"West Virginia State College Foundation, Inc.",Institute,WV,To support the 11th Annual Black Sacred Music Festival.,Folk & Traditional Arts,Heritage / Preservation,,142 March 2001 NCA,Closed Out,"$5,000.00 ",2001,38.3789586,-81.7665882
1707067-51,FALSE,"West Virginia State College Foundation, Inc.",Institute,WV,,Arts Education,Other,,097 August 1988 NCA,Rejected,$0.00 ,,38.3789586,-81.7665882
TOTALS:,,,,,,,,,,,"$1,528,247.82 ",,,
